<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;20220726;150000;194.3500000
GAZP;60;20220726;160000;192.7500000
GAZP;60;20220726;170000;193.0000000
GAZP;60;20220726;180000;193.2200000
GAZP;60;20220726;190000;193.9500000
GAZP;60;20220727;110000;196.2400000
GAZP;60;20220727;120000;196.1400000
GAZP;60;20220727;130000;196.3000000
GAZP;60;20220727;140000;196.6500000
GAZP;60;20220727;150000;195.8800000
GAZP;60;20220727;160000;195.2800000
GAZP;60;20220727;170000;195.7000000
GAZP;60;20220727;180000;196.2700000
GAZP;60;20220727;190000;196.4900000
GAZP;60;20220728;110000;197.8000000
GAZP;60;20220728;120000;195.7100000
GAZP;60;20220728;130000;196.2100000
GAZP;60;20220728;140000;196.4000000
GAZP;60;20220728;150000;197.0600000
GAZP;60;20220728;160000;195.8100000
GAZP;60;20220728;170000;195.9900000
GAZP;60;20220728;180000;196.3500000
GAZP;60;20220728;190000;196.2500000
GAZP;60;20220729;110000;196.0900000
GAZP;60;20220729;120000;196.2800000
GAZP;60;20220729;130000;196.2300000
GAZP;60;20220729;140000;195.3300000
GAZP;60;20220729;150000;193.8500000
GAZP;60;20220729;160000;194.6500000
GAZP;60;20220729;170000;194.7100000
GAZP;60;20220729;180000;195.3900000
GAZP;60;20220729;190000;195.2600000
GAZP;60;20220801;110000;193.0200000
GAZP;60;20220801;120000;193.0500000
GAZP;60;20220801;130000;193.3000000
GAZP;60;20220801;140000;192.7500000
GAZP;60;20220801;150000;193.1000000
GAZP;60;20220801;160000;193.2300000
GAZP;60;20220801;170000;193.0000000
GAZP;60;20220801;180000;192.9600000
GAZP;60;20220801;190000;192.0000000
GAZP;60;20220802;110000;189.5900000
GAZP;60;20220802;120000;189.0600000
GAZP;60;20220802;130000;188.4900000
GAZP;60;20220802;140000;188.4300000
GAZP;60;20220802;150000;188.2800000
GAZP;60;20220802;160000;187.7800000
GAZP;60;20220802;170000;187.4000000
GAZP;60;20220802;180000;187.4800000
GAZP;60;20220802;190000;187.1600000
GAZP;60;20220803;110000;188.0600000
GAZP;60;20220803;120000;188.2800000
GAZP;60;20220803;130000;188.0600000
GAZP;60;20220803;140000;187.9700000
GAZP;60;20220803;150000;188.0900000
GAZP;60;20220803;160000;187.7500000
GAZP;60;20220803;170000;187.4000000
GAZP;60;20220803;180000;187.3900000
GAZP;60;20220803;190000;187.0400000
GAZP;60;20220804;110000;185.8800000
GAZP;60;20220804;120000;185.8200000
GAZP;60;20220804;130000;185.1300000
GAZP;60;20220804;140000;185.2000000
GAZP;60;20220804;150000;185.1900000
GAZP;60;20220804;160000;184.9000000
GAZP;60;20220804;170000;185.3100000
GAZP;60;20220804;180000;185.1200000
GAZP;60;20220804;190000;184.9000000
GAZP;60;20220805;110000;180.3300000
GAZP;60;20220805;120000;177.8300000
GAZP;60;20220805;130000;177.6600000
GAZP;60;20220805;140000;178.9800000
GAZP;60;20220805;150000;178.1800000
GAZP;60;20220805;160000;176.2800000
GAZP;60;20220805;170000;178.4100000
GAZP;60;20220805;180000;177.2800000
GAZP;60;20220805;190000;176.5800000
GAZP;60;20220808;110000;180.4600000
GAZP;60;20220808;120000;180.1300000
GAZP;60;20220808;130000;179.3800000
GAZP;60;20220808;140000;178.2600000
GAZP;60;20220808;150000;178.9700000
GAZP;60;20220808;160000;178.7000000
GAZP;60;20220808;170000;178.3500000
GAZP;60;20220808;180000;177.7400000
GAZP;60;20220808;190000;177.8600000
GAZP;60;20220809;110000;176.8000000
GAZP;60;20220809;120000;176.3000000
GAZP;60;20220809;130000;176.3900000
GAZP;60;20220809;140000;176.9500000
GAZP;60;20220809;150000;177.3400000
GAZP;60;20220809;160000;177.9000000
GAZP;60;20220809;170000;177.4700000
